STATE,CWA,COUNTYNAME,FIPS,TIME_ZONE,FE_AREA,LON,LAT
KS,ICT,Chautauqua,20019,C,se,-96.2453,37.1501
KS,SGF,Cherokee,20021,C,se,-94.8462,37.1693
KS,GLD,Cheyenne,20023,C,nw,-101.7311,39.7858
KS,DDC,Clark,20025,C,sw,-99.8203,37.2355
KS,TOP,Clay,20027,C,nc,-97.1651,39.3497
KS,TOP,Cloud,20029,C,nc,-97.6495,39.4804
KS,TOP,Coffey,20031,C,ec,-95.7342,38.237
KS,DDC,Comanche,20033,C,sc,-99.2719,37.1913
KS,ICT,Cowley,20035,C,sc,-96.8375,37.2378
KS,SGF,Crawford,20037,C,se,-94.8518,37.5073
KS,GLD,Decatur,20039,C,nw,-100.4599,39.7847
KS,TOP,Dickinson,20041,C,cc,-97.1527,38.8664
KS,EAX,Doniphan,20043,C,ne,-95.147,39.7885
KS,TOP,Douglas,20045,C,ec,-95.2924,38.8845
KS,DDC,Edwards,20047,C,sc,-99.312,37.8876
KS,ICT,Elk,20049,C,se,-96.2441,37.4537
KS,DDC,Ellis,20051,C,cc,-99.3173,38.9148
KS,ICT,Ellsworth,20053,C,cc,-98.2048,38.6966
KS,DDC,Finney,20055,C,sw,-100.7369,38.0444
KS,DDC,Ford,20057,C,sw,-99.8879,37.6917
KS,TOP,Franklin,20059,C,ec,-95.2859,38.5646
KS,TOP,Geary,20061,C,ec,-96.7526,39.0024
KS,GLD,Gove,20063,C,wc,-100.4829,38.916
KS,GLD,Graham,20065,C,nw,-99.8833,39.3497
KY,LMK,Madison,21151,E,cc,-84.278,37.7202
KY,JKL,Magoffin,21153,E,se,-83.0648,37.7066
KY,LMK,Marion,21155,E,cc,-85.2696,37.5525
KY,PAH,Marshall,21157,C,ww,-88.3293,36.8834
KY,JKL,Martin,21159,E,ne,-82.5132,37.8016
KY,ILN,Mason,21161,E,nn,-83.824,38.5952
KY,LMK,Meade,21163,E,cc,-86.2169,37.9695
KY,JKL,Menifee,21165,E,ec,-83.5989,37.9414
KY,LMK,Mercer,21167,E,cc,-84.8744,37.8111
KY,LMK,Metcalfe,21169,C,sc,-85.6291,36.9905
KY,LMK,Monroe,21171,C,sc,-85.7164,36.7122
KY,JKL,Montgomery,21173,E,ec,-83.9132,38.0336
KY,JKL,Morgan,21175,E,se,-83.2589,37.9223
KY,PAH,Muhlenberg,21177,C,sc,-87.1421,37.2157
KY,LMK,Nelson,21179,E,cc,-85.4662,37.8051
KY,LMK,Nicholas,21181,E,cc,-84.0153,38.3356
KY,LMK,Ohio,21183,C,cc,-86.849,37.4783
KY,LMK,Oldham,21185,E,cc,-85.4485,38.3995
KY,ILN,Owen,21187,E,nn,-84.828,38.5197
KY,JKL,Owsley,21189,E,se,-83.6832,37.4192
KY,ILN,Pendleton,21191,E,nn,-84.3602,38.6957
KY,JKL,Perry,21193,E,se,-83.2215,37.2443
KY,JKL,Pike,21195,E,se,-82.3958,37.469
KY,JKL,Powell,21197,E,ec,-83.8238,37.8312
KY,JKL,Pulaski,21199,E,sc,-84.5771,37.1039
KY,ILN,Robertson,21201,E,nn,-84.0521,38.5188
KY,JKL,Rockcastle,21203,E,sc,-84.316,37.3652
KY,JKL,Rowan,21205,E,ec,-83.4211,38.1963
KY,LMK,Russell,21207,C,sc,-85.0586,36.9911
KY,LMK,Scott,21209,E,cc,-84.5839,38.2915
KY,LMK,Shelby,21211,E,cc,-85.1948,38.2155
KY,LMK,Simpson,21213,C,sc,-86.5823,36.7419
KY,LMK,Spencer,21215,E,cc,-85.3279,38.0325
KY,LMK,Taylor,21217,E,cc,-85.3279,37.3664
KY,PAH,Todd,21219,C,sc,-87.1791,36.8356
KY,PAH,Trigg,21221,C,ww,-87.8734,36.8064
KY,LMK,Trimble,21223,E,cc,-85.3374,38.613
KY,PAH,Union,21225,C,nw,-87.9453,37.6584
KY,LMK,Warren,21227,C,sc,-86.4239,36.9936
KY,LMK,Washington,21229,E,cc,-85.1747,37.7534
KY,JKL,Wayne,21231,E,sc,-84.8285,36.8013
KY,PAH,Webster,21233,C,nw,-87.6832,37.5183
KY,JKL,Whitley,21235,E,sc,-84.1452,36.7582
KY,JKL,Wolfe,21237,E,se,-83.4931,37.7393
KY,LMK,Woodford,21239,E,cc,-84.7435,38.0423
KY,JKL,Lee,21129,E,se,-83.7163,37.5947
KY,PAH,Fulton,21075,C,ww,-89.1873,36.5541
KY,LMK,Adair,21001,C,sc,-85.2805,37.1041
KY,LMK,Allen,21003,C,sc,-86.1904,36.7513
KY,LMK,Anderson,21005,E,cc,-84.9909,38.004
KY,PAH,Ballard,21007,C,ww,-88.9992,37.0584
KY,LMK,Barren,21009,C,sc,-85.9336,36.9656
KY,JKL,Bath,21011,E,ec,-83.7428,38.1449
KY,JKL,Bell,21013,E,se,-83.674,36.7307
KY,ILN,Boone,21015,E,nn,-84.7279,38.97
KY,LMK,Bourbon,21017,E,cc,-84.2171,38.2068
KY,RLX,Boyd,21019,E,ne,-82.6877,38.3596
KY,LMK,Boyle,21021,E,cc,-84.8667,37.6244
KY,ILN,Bracken,21023,E,nn,-84.0901,38.6888
KY,JKL,Breathitt,21025,E,se,-83.3241,37.5216
KY,LMK,Breckinridge,21027,C,cc,-86.4293,37.7732
KY,LMK,Bullitt,21029,E,cc,-85.6959,37.97
KY,LMK,Butler,21031,C,sc,-86.6816,37.2074
KY,PAH,Caldwell,21033,C,ww,-87.8679,37.1453
KY,PAH,Calloway,21035,C,ww,-88.2723,36.6211
KY,ILN,Campbell,21037,E,nn,-84.3793,38.9465
KY,PAH,Carlisle,21039,C,ww,-88.9709,36.8532
KY,ILN,Carroll,21041,E,nn,-85.1235,38.6679
KY,RLX,Carter,21043,E,ne,-83.0495,38.3181
KY,LMK,Casey,21045,E,cc,-84.9283,37.3223
KY,PAH,Christian,21047,C,sc,-87.4904,36.8941
KY,LMK,Clark,21049,E,cc,-84.1475,37.9709
KY,JKL,Clay,21051,E,se,-83.7146,37.1598
KY,PAH,Hopkins,21107,C,nw,-87.541,37.3088
KY,PAH,Crittenden,21055,C,ww,-88.0972,37.3527
KY,LMK,Cumberland,21057,C,sc,-85.3884,36.7866
KY,PAH,Daviess,21059,C,nw,-87.0873,37.7318
KY,LMK,Edmonson,21061,C,sc,-86.2385,37.2087
KY,JKL,Elliott,21063,E,ec,-83.0976,38.1179
KY,JKL,Estill,21065,E,ec,-83.9643,37.6924
KY,LMK,Fayette,21067,E,cc,-84.4588,38.0423
KY,JKL,Fleming,21069,E,ec,-83.6967,38.3701
KY,JKL,Floyd,21071,E,se,-82.7457,37.5572
KY,LMK,Franklin,21073,E,cc,-84.877,38.2391
KY,ILN,Gallatin,21077,E,nn,-84.8592,38.7569
KY,LMK,Garrard,21079,E,cc,-84.5376,37.6396
KY,ILN,Grant,21081,E,nn,-84.6245,38.6488
KY,PAH,Graves,21083,C,ww,-88.6512,36.723
KY,LMK,Grayson,21085,C,cc,-86.3439,37.4608
KY,LMK,Green,21087,C,cc,-85.5531,37.2639
KY,RLX,Greenup,21089,E,ne,-82.9223,38.5456
KY,LMK,Hancock,21091,C,cc,-86.778,37.8415
KY,LMK,Hardin,21093,E,cc,-85.9635,37.6979
KY,JKL,Harlan,21095,E,se,-83.2179,36.857
KY,LMK,Harrison,21097,E,cc,-84.3315,38.4418
KY,PAH,Hickman,21105,C,ww,-88.9761,36.6781
KY,LMK,Henry,21103,E,cc,-85.1189,38.4484
KY,PAH,Henderson,21101,C,nw,-87.5729,37.7961
KY,LMK,Hart,21099,C,cc,-85.8847,37.2999
KY,JKL,Laurel,21125,E,sc,-84.1178,37.1107
KY,LMK,Clinton,21053,C,sc,-85.1361,36.7275
KY,LMK,Jefferson,21111,E,cc,-85.6595,38.1872
KY,LMK,Jessamine,21113,E,cc,-84.5809,37.872
KY,JKL,Johnson,21115,E,ne,-82.8314,37.8467
KY,ILN,Kenton,21117,E,nn,-84.5331,38.9334
KY,JKL,Knott,21119,E,se,-82.954,37.354
KY,JKL,Knox,21121,E,se,-83.8539,36.8907
KY,LMK,Larue,21123,E,cc,-85.698,37.5457
KY,JKL,Jackson,21109,E,se,-84.0058,37.4198
KY,RLX,Lawrence,21127,E,ne,-82.7347,38.0679
KY,JKL,Leslie,21131,E,se,-83.3811,37.0941
KY,JKL,Letcher,21133,E,se,-82.8553,37.1212
KY,ILN,Lewis,21135,E,ne,-83.3781,38.5317
KY,LMK,Lincoln,21137,E,cc,-84.6607,37.4552
KY,PAH,Livingston,21139,C,ww,-88.3536,37.2097
